ts_open,ts_close,side,entry,exit,qty,sl,tp,reason
1760023200,1760023560,SELL,1.1607,1.1608859164810283,268937.96,1.1608859164810283,1.1603281670379435,turtle_entry_dn N=55
1760025420,1760025600,BUY,1.16146,1.161261769859305,250183.56,1.161261769859305,1.1618564602813897,turtle_entry_up N=55
1760027760,1760028120,SELL,1.1605,1.1599642727346038,183678.03,1.1607678636326983,1.1599642727346038,turtle_entry_dn N=55
1760040120,1760040240,BUY,1.15619,1.1559842258996358,240973.43,1.1559842258996358,1.1566015482007286,turtle_entry_up N=55
1760045760,1760045940,SELL,1.15531,1.155427540200024,418570.45,1.155427540200024,1.1550749195999521,turtle_entry_dn N=55
1760049240,1760049420,BUY,1.15558,1.1558373537571072,378553.41,1.1554513231214465,1.1558373537571072,turtle_entry_up N=55
1760054400,1760054640,SELL,1.15465,1.154857844238086,235654.63,1.154857844238086,1.1542343115238283,turtle_entry_dn N=55
1760065020,1760065140,BUY,1.15652,1.156450264030873,696893.03,1.156450264030873,1.156659471938254,turtle_entry_up N=55
1760072220,1760072460,SELL,1.15627,1.1563827274897858,425384.55,1.1563827274897858,1.1560445450204284,turtle_entry_dn N=55
1760073120,1760073180,BUY,1.157,1.156874973694046,379654.83,1.156874973694046,1.1572500526119078,turtle_entry_up N=55
1760080440,1760080920,SELL,1.15676,1.1568598464915314,470821.51,1.1568598464915314,1.1565603070169375,turtle_entry_dn N=55
1760083200,1760083260,BUY,1.15731,1.157238137809177,647106.81,1.157238137809177,1.1574537243816465,turtle_entry_up N=55
1760086620,1760086800,SELL,1.15702,1.156796168690308,410090.52,1.1571319156548459,1.156796168690308,turtle_entry_dn N=55
1760093760,1760094000,BUY,1.15771,1.1575445075556607,278666.88,1.1575445075556607,1.1580409848886788,turtle_entry_up N=55
1760097840,1760098200,SELL,1.15769,1.1574025603873594,318156.35,1.1578337198063204,1.1574025603873594,turtle_entry_dn N=55
1760102220,1760102460,BUY,1.15792,1.1581878658298943,343444.02,1.1577860670850528,1.1581878658298943,turtle_entry_up N=55
1760105100,1760105160,SELL,1.15692,1.1570412129447254,381639.14,1.1570412129447254,1.1566775741105488,turtle_entry_dn N=55
1760109420,1760109900,BUY,1.15743,1.1572406541553706,241925.26,1.1572406541553706,1.157808691689259,turtle_entry_up N=55
1760112120,1760112420,SELL,1.1565,1.1561601230231484,267382.04,1.156669938488426,1.1561601230231484,turtle_entry_dn N=55
1760115960,1760116440,BUY,1.15742,1.1571939387029726,202326.85,1.1571939387029726,1.1578721225940547,turtle_entry_up N=55
