ts_open,ts_close,side,entry,exit,qty,sl,tp,reason
1760022300,1760022480,SELL,1.16116,1.161352886051268,259220.4,1.161352886051268,1.1607742278974638,ema_cross_dn
1760025300,1760025660,BUY,1.16141,1.1612051295409693,242101.78,1.1612051295409693,1.1618197409180615,ema_cross_up
1760025900,1760025960,SELL,1.16101,1.1612118315818525,243821.68,1.1612118315818525,1.1606063368362953,ema_cross_dn
1760026200,1760026260,BUY,1.16127,1.161913905082409,151647.57,1.1609480474587957,1.161913905082409,ema_cross_up
1760026740,1760027220,SELL,1.16084,1.1611802194044274,144681.64,1.1611802194044274,1.1601595611911455,ema_cross_dn
1760040060,1760040300,BUY,1.15596,1.1557576278919155,241601.52,1.1557576278919155,1.1563647442161693,ema_cross_up
1760042760,1760043180,SELL,1.15564,1.1557985885935251,305881.39,1.1557985885935251,1.1553228228129495,ema_cross_dn
1760048880,1760049060,BUY,1.15547,1.1553467193876044,390085.74,1.1553467193876044,1.1557165612247913,ema_cross_up
1760054400,1760054640,SELL,1.15465,1.154857844238086,229134.05,1.154857844238086,1.1542343115238283,ema_cross_dn
1760056200,1760056260,BUY,1.15615,1.1560676002142765,573469.78,1.1560676002142765,1.1563147995714473,ema_cross_up
1760059800,1760060160,SELL,1.15619,1.1562470288707378,818638.16,1.1562470288707378,1.1560759422585247,ema_cross_dn
1760060280,1760060400,BUY,1.1563,1.156254829562651,1017907.55,1.156254829562651,1.1563903408746985,ema_cross_up
1760061900,1760062140,SELL,1.15599,1.1558617751475986,704402.12,1.1560541124262007,1.1558617751475986,ema_cross_dn
1760063640,1760063760,BUY,1.15626,1.1564009524075014,641427.82,1.1561895237962494,1.1564009524075014,ema_cross_up
1760065860,1760065920,SELL,1.15614,1.156249931596276,411952.75,1.156249931596276,1.155920136807448,ema_cross_dn
1760066880,1760066940,BUY,1.15633,1.1562352556188327,473084.01,1.1562352556188327,1.156519488762335,ema_cross_up
1760067000,1760067060,SELL,1.15623,1.1563254173490678,464532.1,1.1563254173490678,1.1560391653018645,ema_cross_dn
1760067540,1760068440,BUY,1.15647,1.1566771187610998,423276.44,1.1563664406194503,1.1566771187610998,ema_cross_up
1760071260,1760071560,SELL,1.15658,1.1566893015227588,402810.82,1.1566893015227588,1.1563613969544824,ema_cross_dn
1760071620,1760072040,BUY,1.15672,1.1566213687969928,441794.82,1.1566213687969928,1.1569172624060144,ema_cross_up
1760072220,1760072460,SELL,1.15627,1.1563827274897858,382350.08,1.1563827274897858,1.1560445450204284,ema_cross_dn
1760073000,1760073720,BUY,1.15683,1.1570708894197275,354227.33,1.1567095552901363,1.1570708894197275,ema_cross_up
1760076900,1760077080,SELL,1.15677,1.1568512818784802,527627.64,1.1568512818784802,1.1566074362430399,ema_cross_dn
1760077320,1760078100,BUY,1.15698,1.157141750330652,523856.25,1.1568991248346738,1.157141750330652,ema_cross_up
1760080440,1760080920,SELL,1.15676,1.1568598464915314,425529.07,1.1568598464915314,1.1565603070169375,ema_cross_dn
1760082360,1760082480,BUY,1.15719,1.1571188092430607,590372.0,1.1571188092430607,1.1573323815138785,ema_cross_up
1760086620,1760086800,SELL,1.15702,1.156796168690308,370612.12,1.1571319156548459,1.156796168690308,ema_cross_dn
1760090640,1760090760,BUY,1.15735,1.1570843793505243,156906.73,1.1570843793505243,1.1578812412989516,ema_cross_up
1760091840,1760092020,SELL,1.15648,1.1567340446449026,162878.78,1.1567340446449026,1.1559719107101947,ema_cross_dn
1760092380,1760092680,BUY,1.15741,1.1571410587657656,152737.48,1.1571410587657656,1.1579478824684688,ema_cross_up
1760097420,1760098020,SELL,1.15788,1.157550543827564,247581.52,1.158044728086218,1.157550543827564,ema_cross_dn
1760100960,1760101020,BUY,1.15747,1.15739,290350.96,1.1573286258147748,1.1577527483704504,ema_cross_up
1760101020,1760101260,SELL,1.15739,1.157108876513153,290007.46,1.1575305617434233,1.157108876513153,ema_cross_dn
1760102040,1760102160,BUY,1.15763,1.157901289866741,302287.5,1.1574943550666295,1.157901289866741,ema_cross_up
1760103900,1760104260,SELL,1.15731,1.1570625809495851,333352.16,1.1574337095252074,1.1570625809495851,ema_cross_dn
1760109300,1760109420,BUY,1.15714,1.1575093702431642,224481.16,1.156955314878418,1.1575093702431642,ema_cross_up
1760112120,1760112420,SELL,1.1565,1.1561601230231484,245636.14,1.156669938488426,1.1561601230231484,ema_cross_dn
1760115840,1760115960,BUY,1.15699,1.157427964665294,191880.44,1.156771017667353,1.157427964665294,ema_cross_up
1760117400,1760117640,SELL,1.15681,1.1570347398643348,188340.45,1.1570347398643348,1.15636052027133,ema_cross_dn
1760117700,1760118060,BUY,1.15698,1.1574363218764818,184111.42,1.156751839061759,1.1574363218764818,ema_cross_up
1760124660,1760125800,SELL,1.16109,1.160440216604326,130260.63,1.161414891697837,1.160440216604326,ema_cross_dn
1760131560,1760131980,BUY,1.16067,1.1609672308655248,287104.64,1.1605213845672377,1.1609672308655248,ema_cross_up
1760138100,1760138580,SELL,1.16103,1.161151804483292,352435.68,1.161151804483292,1.160786391033416,ema_cross_dn
1760138760,1760139120,BUY,1.1612,1.1610922610290566,394555.56,1.1610922610290566,1.1614154779418868,ema_cross_up
1760139240,1760139420,SELL,1.16073,1.1604591912564401,310679.68,1.16086540437178,1.1604591912564401,ema_cross_dn
1760140380,1760140440,BUY,1.16171,1.1623649349938634,129196.8,1.1613825325030684,1.1623649349938634,ema_cross_up
1760314320,1760316180,SELL,1.16092,1.1611833822911526,161953.89,1.1611833822911526,1.1603932354176947,ema_cross_dn
