ts,equity,ret
1760018880,10000.0,0.0
1760018940,10000.0,0.0
1760019000,10000.0,0.0
1760019060,10000.0,0.0
1760019120,10000.0,0.0
1760019180,10000.0,0.0
1760019240,10000.0,0.0
1760019300,10000.0,0.0
1760019360,10000.0,0.0
1760019420,10000.0,0.0
1760019480,10000.0,0.0
1760019540,10000.0,0.0
1760019600,10000.0,0.0
1760019660,10000.0,0.0
1760019720,10000.0,0.0
1760019780,10000.0,0.0
1760019840,10000.0,0.0
1760019900,10000.0,0.0
1760019960,10000.0,0.0
1760020020,10000.0,0.0
1760020080,10000.0,0.0
1760020140,10000.0,0.0
1760020200,10000.0,0.0
1760020260,10000.0,0.0
1760020320,10000.0,0.0
1760020380,10000.0,0.0
1760020440,10000.0,0.0
1760020500,10000.0,0.0
1760020560,10000.0,0.0
1760020620,10000.0,0.0
1760020680,10000.0,0.0
1760020740,10000.0,0.0
1760020800,10000.0,0.0
1760020860,10000.0,0.0
1760020920,10000.0,0.0
1760020980,10000.0,0.0
1760021040,10000.0,0.0
1760021100,10000.0,0.0
1760021160,10000.0,0.0
1760021220,10000.0,0.0
1760021280,10000.0,0.0
1760021340,10000.0,0.0
1760021400,10000.0,0.0
1760021460,10000.0,0.0
1760021520,10000.0,0.0
1760021580,10000.0,0.0
1760021640,10000.0,0.0
1760021700,10000.0,0.0
1760021760,10000.0,0.0
1760021820,10000.0,0.0
1760021880,10000.0,0.0
1760021940,10000.0,0.0
1760022000,10000.0,0.0
1760022060,10000.0,0.0
1760022120,10000.0,0.0
1760022180,10000.0,0.0
1760022240,10000.0,0.0
1760022300,10000.0,0.0
1760022360,9964.715956033557,-0.003528404396644369
1760022420,9975.084772033559,0.0010405530921053785
1760022480,9920.648488033563,-0.005457225200994231
1760022540,9919.900364669447,-7.541073197159243e-05
1760022600,9919.900364669447,0.0
1760022660,9919.900364669447,0.0
1760022720,9919.900364669447,0.0
1760022780,9919.900364669447,0.0
1760022840,9919.900364669447,0.0
1760022900,9919.900364669447,0.0
1760022960,9919.900364669447,0.0
1760023020,9919.900364669447,0.0
1760023080,9919.900364669447,0.0
1760023140,9919.900364669447,0.0
1760023200,9919.900364669447,0.0
1760023260,9919.900364669447,0.0
1760023320,9919.900364669447,0.0
1760023380,9919.900364669447,0.0
1760023440,9919.900364669447,0.0
1760023500,9919.900364669447,0.0
1760023560,9919.900364669447,0.0
1760023620,9919.900364669447,0.0
1760023680,9919.900364669447,0.0
1760023740,9919.900364669447,0.0
1760023800,9919.900364669447,0.0
1760023860,9919.900364669447,0.0
1760023920,9919.900364669447,0.0
1760023980,9919.900364669447,0.0
1760024040,9919.900364669447,0.0
1760024100,9919.900364669447,0.0
1760024160,9919.900364669447,0.0
1760024220,9919.900364669447,0.0
1760024280,9919.900364669447,0.0
1760024340,9919.900364669447,0.0
1760024400,9919.900364669447,0.0
1760024460,9919.900364669447,0.0
1760024520,9919.900364669447,0.0
1760024580,9919.900364669447,0.0
1760024640,9919.900364669447,0.0
1760024700,9919.900364669447,0.0
1760024760,9919.900364669447,0.0
1760024820,9919.900364669447,0.0
1760024880,9919.900364669447,0.0
1760024940,9919.900364669447,0.0
1760025000,9919.900364669447,0.0
1760025060,9919.900364669447,0.0
1760025120,9919.900364669447,0.0
